OsID,OsGene
LOC_Os01g44220,OsAPL2|osagpl2-3|OsAGPL2|GIF2 
LOC_Os05g50380,OsAPL3 
LOC_Os07g13980,OsAPL4|OsAGPL4 
LOC_Os09g12660,OsAPS1|OsAGPS1 
LOC_Os08g25734,OsAPS2|OsAGPS2b 
LOC_Os12g39860,OsAPT1|APRT 
LOC_Os04g42520,OsAPT2 
LOC_Os03g17690,OsAPX1|APXa 
LOC_Os07g49400,OsAPX2|APXb 
LOC_Os02g34810,OsAPx8 
LOC_Os06g48940,OsARA1 
LOC_Os07g48750,OsARAF1 
LOC_Os11g03730,OsARAF3 
